Class;gt;eval;rp;fp;fn;S;G;t_int
bicycle;8;1;1;0;7;0,125;1,000000000000000;00:00:10
bicycle;8;1;1;0;7;0,125;1,000000000000000;00:00:20
bicycle;8;3;2;1;6;0,250;0,666666666666667;00:00:30
bicycle;8;3;2;1;6;0,250;0,666666666666667;00:00:50
bicycle;8;3;2;1;6;0,250;0,666666666666667;00:01:00
bicycle;8;5;2;3;6;0,250;0,400000000000000;00:01:30
bicycle;8;3;2;1;6;0,250;0,666666666666667;00:01:40
bicycle;8;3;2;1;6;0,250;0,666666666666667;00:02:30
bicycle;8;5;4;1;4;0,500;0,800000000000000;00:03:00
bicycle;8;3;3;0;5;0,375;1,000000000000000;00:05:00
bicycle;8;5;5;0;3;0,625;1,000000000000000;00:07:30
bicycle;8;5;5;0;3;0,625;1,000000000000000;00:15:00
