Class;gt;eval;rp;fp;fn;S;G;t_int
bus;9;9;8;1;1;0,888888888888889;0,888888888888889;00:00:10
bus;9;12;9;3;0;1,000000000000000;0,750000000000000;00:00:20
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;00:00:30
bus;9;12;9;3;0;1,000000000000000;0,750000000000000;00:00:50
bus;9;12;9;3;0;1,000000000000000;0,750000000000000;00:01:00
bus;9;12;9;3;0;1,000000000000000;0,750000000000000;00:01:30
bus;9;12;9;3;0;1,000000000000000;0,750000000000000;00:01:40
bus;9;13;9;4;0;1,000000000000000;0,692307692307692;00:02:30
bus;9;13;9;4;0;1,000000000000000;0,692307692307692;00:03:00
bus;9;13;9;4;0;1,000000000000000;0,692307692307692;00:05:00
bus;9;13;9;4;0;1,000000000000000;0,692307692307692;00:07:30
bus;9;13;9;4;0;1,000000000000000;0,692307692307692;00:15:00
