Class;gt;eval;rp;fp;fn;S;G;t_int
car;188;185;175;10;13;0,930851063829787;0,945945945945946;00:00:10
car;188;190;177;13;11;0,941489361702128;0,931578947368421;00:00:20
car;188;189;177;12;11;0,941489361702128;0,936507936507937;00:00:30
car;188;190;179;11;9;0,952127659574468;0,942105263157895;00:00:50
car;188;190;179;11;9;0,952127659574468;0,942105263157895;00:01:00
car;188;190;180;10;8;0,957446808510638;0,947368421052632;00:01:30
car;188;190;181;9;7;0,962765957446808;0,952631578947368;00:01:40
car;188;190;183;7;5;0,973404255319149;0,963157894736842;00:02:30
car;188;190;181;9;7;0,962765957446808;0,952631578947368;00:03:00
car;188;190;183;7;5;0,973404255319149;0,963157894736842;00:05:00
car;188;190;183;7;5;0,973404255319149;0,963157894736842;00:07:30
car;188;190;188;2;0;1,000000000000000;0,989473684210526;00:15:00
