Class;gt;eval;rp;fp;fn;S;G;t_int
car;190;180;175;5;15;0,921052631578947;0,972222222222222;00:00:10
car;190;184;176;8;14;0,926315789473684;0,956521739130435;00:00:20
car;190;181;176;5;14;0,926315789473684;0,972375690607735;00:00:30
car;190;184;176;8;14;0,926315789473684;0,956521739130435;00:00:50
car;190;184;176;8;14;0,926315789473684;0,956521739130435;00:01:00
car;190;184;177;7;13;0,931578947368421;0,961956521739130;00:01:30
car;190;184;182;2;8;0,957894736842105;0,989130434782609;00:01:40
car;190;184;182;2;8;0,957894736842105;0,989130434782609;00:02:30
car;190;184;177;7;13;0,931578947368421;0,961956521739130;00:03:00
car;190;184;182;2;8;0,957894736842105;0,989130434782609;00:05:00
car;190;184;184;0;6;0,968421052631579;1,000000000000000;00:07:30
car;190;184;184;0;6;0,968421052631579;1,000000000000000;00:15:00
