Class;gt;eval;rp;fp;fn;S;G;t_int
person;105;106;97;9;8;0,923809523809524;0,915094339622642;00:00:10
person;105;106;99;7;6;0,942857142857143;0,933962264150943;00:00:20
person;105;107;100;7;5;0,952380952380952;0,934579439252336;00:00:30
person;105;110;100;10;5;0,952380952380952;0,909090909090909;00:00:50
person;105;110;101;9;4;0,961904761904762;0,918181818181818;00:01:00
person;105;110;100;10;5;0,952380952380952;0,909090909090909;00:01:30
person;105;110;101;9;4;0,961904761904762;0,918181818181818;00:01:40
person;105;110;100;10;5;0,952380952380952;0,909090909090909;00:02:30
person;105;110;104;6;1;0,990476190476191;0,945454545454545;00:03:00
person;105;110;105;5;0;1,000000000000000;0,954545454545455;00:05:00
person;105;110;102;8;3;0,971428571428571;0,927272727272727;00:07:30
person;105;110;105;5;0;1,000000000000000;0,954545454545455;00:15:00
