Class;gt;eval;rp;fp;fn;S;G;t_int
person;105;104;85;19;20;0,809523809523810;0,817307692307692;00:00:10
person;105;110;90;20;15;0,857142857142857;0,818181818181818;00:00:20
person;105;121;96;25;9;0,914285714285714;0,793388429752066;00:00:30
person;105;133;99;34;6;0,942857142857143;0,744360902255639;00:00:50
person;105;133;101;32;4;0,961904761904762;0,759398496240602;00:01:00
person;105;133;101;32;4;0,961904761904762;0,759398496240602;00:01:30
person;105;133;101;32;4;0,961904761904762;0,759398496240602;00:01:40
person;105;133;105;28;0;1,000000000000000;0,789473684210526;00:02:30
person;105;133;105;28;0;1,000000000000000;0,789473684210526;00:03:00
person;105;133;105;28;0;1,000000000000000;0,789473684210526;00:05:00
person;105;133;105;28;0;1,000000000000000;0,789473684210526;00:07:30
person;105;133;105;28;0;1,000000000000000;0,789473684210526;00:15:00
