Class;gt;eval;rp;fp;fn;S;G;t_int
truck;5;5;4;1;1;0,8;0,800000000000000;00:00:10
truck;5;5;4;1;1;0,8;0,800000000000000;00:00:20
truck;5;5;4;1;1;0,8;0,800000000000000;00:00:30
truck;5;6;5;1;0;1,0;0,833333333333333;00:00:50
truck;5;6;4;2;1;0,8;0,666666666666667;00:01:00
truck;5;8;5;3;0;1,0;0,625000000000000;00:01:30
truck;5;6;5;1;0;1,0;0,833333333333333;00:01:40
truck;5;10;5;5;0;1,0;0,500000000000000;00:02:30
truck;5;11;5;6;0;1,0;0,454545454545455;00:03:00
truck;5;13;5;8;0;1,0;0,384615384615385;00:05:00
truck;5;13;5;8;0;1,0;0,384615384615385;00:07:30
truck;5;13;5;8;0;1,0;0,384615384615385;00:15:00
