Class;gt;eval;rp;fp;fn;S;G;t_int
person;171;118;97;21;74;0,567251461988304;0,822033898305085;2023-04-12T00:00:10Z
person;171;118;102;16;69;0,596491228070175;0,864406779661017;2023-04-12T00:00:20Z
person;171;118;105;13;66;0,614035087719298;0,889830508474576;2023-04-12T00:00:30Z
person;171;118;114;4;57;0,666666666666667;0,966101694915254;2023-04-12T00:00:50Z
person;171;118;114;4;57;0,666666666666667;0,966101694915254;2023-04-12T00:01:00Z
person;171;118;118;0;53;0,690058479532164;1,000000000000000;2023-04-12T00:01:30Z
person;171;118;116;2;55;0,678362573099415;0,983050847457627;2023-04-12T00:01:40Z
person;171;118;116;2;55;0,678362573099415;0,983050847457627;2023-04-12T00:02:30Z
person;171;118;118;0;53;0,690058479532164;1,000000000000000;2023-04-12T00:03:00Z
person;171;118;118;0;53;0,690058479532164;1,000000000000000;2023-04-12T00:05:00Z
person;171;118;118;0;53;0,690058479532164;1,000000000000000;2023-04-12T00:07:30Z
person;171;118;118;0;53;0,690058479532164;1,000000000000000;2023-04-12T00:15:00Z
