Class;gt;eval;rp;fp;fn;S;G;t_int
person;39;35;25;10;14;0,641025641025641;0,714285714285714;2023-04-12T00:00:10Z
person;39;35;27;8;12;0,692307692307692;0,771428571428571;2023-04-12T00:00:20Z
person;39;35;30;5;9;0,769230769230769;0,857142857142857;2023-04-12T00:00:30Z
person;39;35;30;5;9;0,769230769230769;0,857142857142857;2023-04-12T00:00:50Z
person;39;35;31;4;8;0,794871794871795;0,885714285714286;2023-04-12T00:01:00Z
person;39;35;32;3;7;0,820512820512820;0,914285714285714;2023-04-12T00:01:30Z
person;39;35;32;3;7;0,820512820512820;0,914285714285714;2023-04-12T00:01:40Z
person;39;35;33;2;6;0,846153846153846;0,942857142857143;2023-04-12T00:02:30Z
person;39;35;33;2;6;0,846153846153846;0,942857142857143;2023-04-12T00:03:00Z
person;39;35;35;0;4;0,897435897435897;1,000000000000000;2023-04-12T00:05:00Z
person;39;35;35;0;4;0,897435897435897;1,000000000000000;2023-04-12T00:07:30Z
person;39;35;35;0;4;0,897435897435897;1,000000000000000;2023-04-12T00:15:00Z
