Class;gt;eval;rp;fp;fn;S;G;t_int
bus;8;6;4;2;4;0,500;0,666666666666667;2023-04-12T00:00:10Z
bus;8;6;4;2;4;0,500;0,666666666666667;2023-04-12T00:00:20Z
bus;8;6;5;1;3;0,625;0,833333333333333;2023-04-12T00:00:30Z
bus;8;6;6;0;2;0,750;1,000000000000000;2023-04-12T00:00:50Z
bus;8;6;5;1;3;0,625;0,833333333333333;2023-04-12T00:01:00Z
bus;8;6;5;1;3;0,625;0,833333333333333;2023-04-12T00:01:30Z
bus;8;6;6;0;2;0,750;1,000000000000000;2023-04-12T00:01:40Z
bus;8;6;6;0;2;0,750;1,000000000000000;2023-04-12T00:02:30Z
bus;8;6;5;1;3;0,625;0,833333333333333;2023-04-12T00:03:00Z
bus;8;6;6;0;2;0,750;1,000000000000000;2023-04-12T00:05:00Z
bus;8;6;6;0;2;0,750;1,000000000000000;2023-04-12T00:07:30Z
bus;8;6;6;0;2;0,750;1,000000000000000;2023-04-12T00:15:00Z
