Class;gt;eval;rp;fp;fn;S;G;t_int
car;169;186;167;19;2;0,988165680473373;0,897849462365591;2023-04-12T00:00:10Z
car;169;186;168;18;1;0,994082840236686;0,903225806451613;2023-04-12T00:00:20Z
car;169;186;167;19;2;0,988165680473373;0,897849462365591;2023-04-12T00:00:30Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:00:50Z
car;169;186;168;18;1;0,994082840236686;0,903225806451613;2023-04-12T00:01:00Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:01:30Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:01:40Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:02:30Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:03:00Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:05:00Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:07:30Z
car;169;186;169;17;0;1,000000000000000;0,908602150537634;2023-04-12T00:15:00Z
