Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;8;5;1;4;7;0,125;0,2;0,153846153846154;2023-04-14T00:00:10Z
bicycle;8;5;1;4;7;0,125;0,2;0,153846153846154;2023-04-14T00:00:20Z
bicycle;8;5;2;3;6;0,250;0,4;0,307692307692308;2023-04-14T00:00:30Z
bicycle;8;5;2;3;6;0,250;0,4;0,307692307692308;2023-04-14T00:00:50Z
bicycle;8;5;2;3;6;0,250;0,4;0,307692307692308;2023-04-14T00:01:00Z
bicycle;8;5;2;3;6;0,250;0,4;0,307692307692308;2023-04-14T00:01:30Z
bicycle;8;5;2;3;6;0,250;0,4;0,307692307692308;2023-04-14T00:01:40Z
bicycle;8;5;2;3;6;0,250;0,4;0,307692307692308;2023-04-14T00:02:30Z
bicycle;8;5;4;1;4;0,500;0,8;0,615384615384615;2023-04-14T00:03:00Z
bicycle;8;5;3;2;5;0,375;0,6;0,461538461538462;2023-04-14T00:05:00Z
bicycle;8;5;5;0;3;0,625;1,0;0,769230769230769;2023-04-14T00:07:30Z
bicycle;8;5;5;0;3;0,625;1,0;0,769230769230769;2023-04-14T00:15:00Z
