Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;10;4;3;1;7;0,3;0,75;0,428571428571428;2023-04-14T00:00:10Z
bicycle;10;4;3;1;7;0,3;0,75;0,428571428571428;2023-04-14T00:00:20Z
bicycle;10;4;3;1;7;0,3;0,75;0,428571428571428;2023-04-14T00:00:30Z
bicycle;10;4;3;1;7;0,3;0,75;0,428571428571428;2023-04-14T00:00:50Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:01:00Z
bicycle;10;4;3;1;7;0,3;0,75;0,428571428571428;2023-04-14T00:01:30Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:01:40Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:02:30Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:03:00Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:05:00Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:07:30Z
bicycle;10;4;4;0;6;0,4;1,00;0,571428571428572;2023-04-14T00:15:00Z
