Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;190;184;175;9;15;0,921052631578947;0,951086956521739;0,935828877005348;2023-04-14T00:00:10Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;0,941176470588235;2023-04-14T00:00:20Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;0,941176470588235;2023-04-14T00:00:30Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;0,941176470588235;2023-04-14T00:00:50Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;0,941176470588235;2023-04-14T00:01:00Z
car;190;184;177;7;13;0,931578947368421;0,961956521739130;0,946524064171123;2023-04-14T00:01:30Z
car;190;184;182;2;8;0,957894736842105;0,989130434782609;0,973262032085561;2023-04-14T00:01:40Z
car;190;184;182;2;8;0,957894736842105;0,989130434782609;0,973262032085561;2023-04-14T00:02:30Z
car;190;184;177;7;13;0,931578947368421;0,961956521739130;0,946524064171123;2023-04-14T00:03:00Z
car;190;184;182;2;8;0,957894736842105;0,989130434782609;0,973262032085561;2023-04-14T00:05:00Z
car;190;184;184;0;6;0,968421052631579;1,000000000000000;0,983957219251337;2023-04-14T00:07:30Z
car;190;184;184;0;6;0,968421052631579;1,000000000000000;0,983957219251337;2023-04-14T00:15:00Z
