Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;214;208;153;56;62;0,711627906976744;0,732057416267943;0,721698113207547;2023-04-14T00:00:10Z
person;214;208;166;42;48;0,775700934579439;0,798076923076923;0,786729857819905;2023-04-14T00:00:20Z
person;214;207;175;32;39;0,817757009345794;0,845410628019324;0,831353919239905;2023-04-14T00:00:30Z
person;214;207;183;24;31;0,855140186915888;0,884057971014493;0,869358669833729;2023-04-14T00:00:50Z
person;214;207;180;27;34;0,841121495327103;0,869565217391304;0,855106888361045;2023-04-14T00:01:00Z
person;214;207;181;26;33;0,845794392523365;0,874396135265700;0,859857482185273;2023-04-14T00:01:30Z
person;214;207;187;20;27;0,873831775700935;0,903381642512077;0,888361045130641;2023-04-14T00:01:40Z
person;214;207;186;21;28;0,869158878504673;0,898550724637681;0,883610451306413;2023-04-14T00:02:30Z
person;214;205;185;20;29;0,864485981308411;0,902439024390244;0,883054892601432;2023-04-14T00:03:00Z
person;214;206;206;0;8;0,962616822429907;1,000000000000000;0,980952380952381;2023-04-14T00:05:00Z
person;214;204;202;2;12;0,943925233644860;0,990196078431373;0,966507177033493;2023-04-14T00:07:30Z
person;214;204;204;0;10;0,953271028037383;1,000000000000000;0,976076555023924;2023-04-14T00:15:00Z
