Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;58;38;29;12;32;0,475409836065574;0,707317073170732;0,568627450980392;2023-04-14T00:00:10Z
person;58;38;29;12;32;0,475409836065574;0,707317073170732;0,568627450980392;2023-04-14T00:00:20Z
person;58;38;34;7;27;0,557377049180328;0,829268292682927;0,666666666666667;2023-04-14T00:00:30Z
person;58;38;32;6;26;0,551724137931034;0,842105263157895;0,666666666666667;2023-04-14T00:00:50Z
person;58;38;36;2;22;0,620689655172414;0,947368421052632;0,750000000000000;2023-04-14T00:01:00Z
person;58;38;38;0;20;0,655172413793103;1,000000000000000;0,791666666666667;2023-04-14T00:01:30Z
person;58;37;35;2;23;0,603448275862069;0,945945945945946;0,736842105263158;2023-04-14T00:01:40Z
person;58;37;37;0;21;0,637931034482759;1,000000000000000;0,778947368421053;2023-04-14T00:02:30Z
person;58;37;37;0;21;0,637931034482759;1,000000000000000;0,778947368421053;2023-04-14T00:03:00Z
person;58;36;36;0;22;0,620689655172414;1,000000000000000;0,765957446808511;2023-04-14T00:05:00Z
person;58;36;36;0;22;0,620689655172414;1,000000000000000;0,765957446808511;2023-04-14T00:07:30Z
person;58;33;33;0;25;0,568965517241379;1,000000000000000;0,725274725274725;2023-04-14T00:15:00Z
