Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;105;127;84;44;22;0,792452830188679;0,656250000000000;0,717948717948718;2023-04-14T00:00:10Z
person;105;127;90;38;16;0,849056603773585;0,703125000000000;0,769230769230769;2023-04-14T00:00:20Z
person;105;127;93;34;12;0,885714285714286;0,732283464566929;0,801724137931034;2023-04-14T00:00:30Z
person;105;127;97;30;8;0,923809523809524;0,763779527559055;0,836206896551724;2023-04-14T00:00:50Z
person;105;126;99;27;6;0,942857142857143;0,785714285714286;0,857142857142857;2023-04-14T00:01:00Z
person;105;127;100;27;5;0,952380952380952;0,787401574803150;0,862068965517241;2023-04-14T00:01:30Z
person;105;126;99;27;6;0,942857142857143;0,785714285714286;0,857142857142857;2023-04-14T00:01:40Z
person;105;126;104;22;1;0,990476190476191;0,825396825396825;0,900432900432900;2023-04-14T00:02:30Z
person;105;126;105;21;0;1,000000000000000;0,833333333333333;0,909090909090909;2023-04-14T00:03:00Z
person;105;126;105;21;0;1,000000000000000;0,833333333333333;0,909090909090909;2023-04-14T00:05:00Z
person;105;126;105;21;0;1,000000000000000;0,833333333333333;0,909090909090909;2023-04-14T00:07:30Z
person;105;125;105;20;0;1,000000000000000;0,840000000000000;0,913043478260870;2023-04-14T00:15:00Z
