Class;gt;eval;rp;fp;fn;S;G;t_int
bicycle;9;9;5;4;4;0,555555555555556;0,555555555555556;2023-04-12T00:00:10Z
bicycle;9;9;5;4;4;0,555555555555556;0,555555555555556;2023-04-12T00:00:20Z
bicycle;9;9;5;4;4;0,555555555555556;0,555555555555556;2023-04-12T00:00:30Z
bicycle;9;9;5;4;4;0,555555555555556;0,555555555555556;2023-04-12T00:00:50Z
bicycle;9;9;5;4;4;0,555555555555556;0,555555555555556;2023-04-12T00:01:00Z
bicycle;9;9;5;4;4;0,555555555555556;0,555555555555556;2023-04-12T00:01:30Z
bicycle;9;9;6;3;3;0,666666666666667;0,666666666666667;2023-04-12T00:01:40Z
bicycle;9;9;6;3;3;0,666666666666667;0,666666666666667;2023-04-12T00:02:30Z
bicycle;9;9;6;3;3;0,666666666666667;0,666666666666667;2023-04-12T00:03:00Z
bicycle;9;9;7;2;2;0,777777777777778;0,777777777777778;2023-04-12T00:05:00Z
bicycle;9;9;7;2;2;0,777777777777778;0,777777777777778;2023-04-12T00:07:30Z
bicycle;9;9;9;0;0;1,000000000000000;1,000000000000000;2023-04-12T00:15:00Z
