Class;gt;eval;rp;fp;fn;S;G;t_int
bus;9;11;8;3;1;0,888888888888889;0,727272727272727;2023-04-12T00:00:10Z
bus;9;11;8;3;1;0,888888888888889;0,727272727272727;2023-04-12T00:00:20Z
bus;9;11;8;3;1;0,888888888888889;0,727272727272727;2023-04-12T00:00:30Z
bus;9;11;8;3;1;0,888888888888889;0,727272727272727;2023-04-12T00:00:50Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:01:00Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:01:30Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:01:40Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:02:30Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:03:00Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:05:00Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:07:30Z
bus;9;11;9;2;0;1,000000000000000;0,818181818181818;2023-04-12T00:15:00Z
