Class;gt;eval;rp;fp;fn;S;G;t_int
bicycle;67;102;50;52;17;0,746268656716418;0,490196078431373;2023-04-12T00:00:10Z
bicycle;67;102;53;49;14;0,791044776119403;0,519607843137255;2023-04-12T00:00:20Z
bicycle;67;102;60;42;7;0,895522388059702;0,588235294117647;2023-04-12T00:00:30Z
bicycle;67;102;64;38;3;0,955223880597015;0,627450980392157;2023-04-12T00:00:50Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:01:00Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:01:30Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:01:40Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:02:30Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:03:00Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:05:00Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:07:30Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;2023-04-12T00:15:00Z
