Class;gt;eval;rp;fp;fn;S;G;t_int
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:00:10Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:00:20Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:00:30Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:00:50Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:01:00Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:01:30Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:01:40Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:02:30Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:03:00Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:05:00Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:07:30Z
person;15;142;15;127;0;1;0,105633802816901;2023-04-12T00:15:00Z
