Class;gt;eval;rp;fp;fn;S;G;t_int
person;214;184;153;31;61;0,714953271028037;0,831521739130435;00:00:10
person;214;202;167;35;47;0,780373831775701;0,826732673267327;00:00:20
person;214;209;177;32;37;0,827102803738318;0,846889952153110;00:00:30
person;214;209;185;24;29;0,864485981308411;0,885167464114832;00:00:50
person;214;209;182;27;32;0,850467289719626;0,870813397129187;00:01:00
person;214;209;183;26;31;0,855140186915888;0,875598086124402;00:01:30
person;214;209;189;20;25;0,883177570093458;0,904306220095694;00:01:40
person;214;209;188;21;26;0,878504672897196;0,899521531100478;00:02:30
person;214;209;189;20;25;0,883177570093458;0,904306220095694;00:03:00
person;214;209;209;0;5;0,976635514018692;1,000000000000000;00:05:00
person;214;209;205;4;9;0,957943925233645;0,980861244019139;00:07:30
person;214;209;209;0;5;0,976635514018692;1,000000000000000;00:15:00
