Class;gt;eval;rp;fp;fn;S;G;t_int
person;58;32;30;2;28;0,517241379310345;0,937500000000000;00:00:10
person;58;34;30;4;28;0,517241379310345;0,882352941176471;00:00:20
person;58;40;35;5;23;0,603448275862069;0,875000000000000;00:00:30
person;58;47;37;10;21;0,637931034482759;0,787234042553192;00:00:50
person;58;47;42;5;16;0,724137931034483;0,893617021276596;00:01:00
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:01:30
person;58;47;44;3;14;0,758620689655172;0,936170212765957;00:01:40
person;58;47;46;1;12;0,793103448275862;0,978723404255319;00:02:30
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:03:00
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:05:00
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:07:30
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:15:00
