Class;gt;eval;rp;fp;fn;S;G;t_int
truck;5;13;4;9;1;0,8;0,307692307692308;2023-04-12T00:00:10Z
truck;5;13;4;9;1;0,8;0,307692307692308;2023-04-12T00:00:20Z
truck;5;13;4;9;1;0,8;0,307692307692308;2023-04-12T00:00:30Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:00:50Z
truck;5;13;4;9;1;0,8;0,307692307692308;2023-04-12T00:01:00Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:01:30Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:01:40Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:02:30Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:03:00Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:05:00Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:07:30Z
truck;5;13;5;8;0;1,0;0,384615384615385;2023-04-12T00:15:00Z
