Class;gt;eval;rp;fp;fn;S;G;t_int
person;68;62;45;17;23;0,661764705882353;0,725806451612903;2023-04-12T00:00:10Z
person;68;62;49;13;19;0,720588235294118;0,790322580645161;2023-04-12T00:00:20Z
person;68;62;48;14;20;0,705882352941177;0,774193548387097;2023-04-12T00:00:30Z
person;68;62;54;8;14;0,794117647058823;0,870967741935484;2023-04-12T00:00:50Z
person;68;62;54;8;14;0,794117647058823;0,870967741935484;2023-04-12T00:01:00Z
person;68;62;55;7;13;0,808823529411765;0,887096774193548;2023-04-12T00:01:30Z
person;68;62;57;5;11;0,838235294117647;0,919354838709677;2023-04-12T00:01:40Z
person;68;62;58;4;10;0,852941176470588;0,935483870967742;2023-04-12T00:02:30Z
person;68;62;58;4;10;0,852941176470588;0,935483870967742;2023-04-12T00:03:00Z
person;68;62;61;1;7;0,897058823529412;0,983870967741935;2023-04-12T00:05:00Z
person;68;62;60;2;8;0,882352941176471;0,967741935483871;2023-04-12T00:07:30Z
person;68;62;62;0;6;0,911764705882353;1,000000000000000;2023-04-12T00:15:00Z
