Class;gt;eval;rp;fp;fn;S;G;t_int
person;214;209;92;117;122;0,429906542056075;0,440191387559809;00:00:01
person;214;209;113;96;101;0,528037383177570;0,540669856459330;00:00:02
person;214;209;129;80;85;0,602803738317757;0,617224880382775;00:00:03
person;214;209;137;72;77;0,640186915887850;0,655502392344498;00:00:04
person;214;209;142;67;72;0,663551401869159;0,679425837320574;00:00:05
person;214;209;142;67;72;0,663551401869159;0,679425837320574;00:00:06
person;214;209;159;50;55;0,742990654205608;0,760765550239234;00:00:09
person;214;209;153;56;61;0,714953271028037;0,732057416267943;00:00:10
person;214;209;157;52;57;0,733644859813084;0,751196172248804;00:00:12
person;214;209;163;46;51;0,761682242990654;0,779904306220096;00:00:15
person;214;209;173;36;41;0,808411214953271;0,827751196172249;00:00:18
person;214;209;167;42;47;0,780373831775701;0,799043062200957;00:00:20
person;214;209;178;31;36;0,831775700934579;0,851674641148325;00:00:25
person;214;209;177;32;37;0,827102803738318;0,846889952153110;00:00:30
person;214;209;179;30;35;0,836448598130841;0,856459330143541;00:00:36
person;214;209;181;28;33;0,845794392523365;0,866028708133971;00:00:45
person;214;209;185;24;29;0,864485981308411;0,885167464114832;00:00:50
person;214;209;182;27;32;0,850467289719626;0,870813397129187;00:01:00
person;214;209;183;26;31;0,855140186915888;0,875598086124402;00:01:15
person;214;209;183;26;31;0,855140186915888;0,875598086124402;00:01:30
person;214;209;189;20;25;0,883177570093458;0,904306220095694;00:01:40
person;214;209;188;21;26;0,878504672897196;0,899521531100478;00:02:30
person;214;209;189;20;25;0,883177570093458;0,904306220095694;00:03:00
person;214;209;192;17;22;0,897196261682243;0,918660287081340;00:03:45
person;214;209;209;0;5;0,976635514018692;1,000000000000000;00:05:00
person;214;209;205;4;9;0,957943925233645;0,980861244019139;00:07:30
person;214;209;209;0;5;0,976635514018692;1,000000000000000;00:15:00
