Class;gt;eval;rp;fp;fn;S;G;t_int
person;58;47;16;31;42;0,275862068965517;0,340425531914894;00:00:01
person;58;47;23;24;35;0,396551724137931;0,489361702127660;00:00:02
person;58;47;22;25;36;0,379310344827586;0,468085106382979;00:00:03
person;58;47;27;20;31;0,465517241379310;0,574468085106383;00:00:04
person;58;47;26;21;32;0,448275862068966;0,553191489361702;00:00:05
person;58;47;27;20;31;0,465517241379310;0,574468085106383;00:00:06
person;58;47;26;21;32;0,448275862068966;0,553191489361702;00:00:09
person;58;47;30;17;28;0,517241379310345;0,638297872340426;00:00:10
person;58;47;29;18;29;0,500000000000000;0,617021276595745;00:00:12
person;58;47;31;16;27;0,534482758620690;0,659574468085106;00:00:15
person;58;47;32;15;26;0,551724137931034;0,680851063829787;00:00:18
person;58;47;30;17;28;0,517241379310345;0,638297872340426;00:00:20
person;58;47;33;14;25;0,568965517241379;0,702127659574468;00:00:25
person;58;47;35;12;23;0,603448275862069;0,744680851063830;00:00:30
person;58;47;34;13;24;0,586206896551724;0,723404255319149;00:00:36
person;58;47;38;9;20;0,655172413793103;0,808510638297872;00:00:45
person;58;47;37;10;21;0,637931034482759;0,787234042553192;00:00:50
person;58;47;42;5;16;0,724137931034483;0,893617021276596;00:01:00
person;58;47;42;5;16;0,724137931034483;0,893617021276596;00:01:15
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:01:30
person;58;47;44;3;14;0,758620689655172;0,936170212765957;00:01:40
person;58;47;46;1;12;0,793103448275862;0,978723404255319;00:02:30
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:03:00
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:03:45
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:05:00
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:07:30
person;58;47;47;0;11;0,810344827586207;1,000000000000000;00:15:00
