Class;gt;eval;rp;fp;fn;S;G;t_int
person;105;107;96;11;9;0,914285714285714;0,897196261682243;2023-04-12T00:00:10Z
person;105;107;99;8;6;0,942857142857143;0,925233644859813;2023-04-12T00:00:20Z
person;105;107;100;7;5;0,952380952380952;0,934579439252336;2023-04-12T00:00:30Z
person;105;107;99;8;6;0,942857142857143;0,925233644859813;2023-04-12T00:00:50Z
person;105;107;101;6;4;0,961904761904762;0,943925233644860;2023-04-12T00:01:00Z
person;105;107;100;7;5;0,952380952380952;0,934579439252336;2023-04-12T00:01:30Z
person;105;106;101;5;4;0,961904761904762;0,952830188679245;2023-04-12T00:01:40Z
person;105;106;100;6;5;0,952380952380952;0,943396226415094;2023-04-12T00:02:30Z
person;105;107;103;4;2;0,980952380952381;0,962616822429907;2023-04-12T00:03:00Z
person;105;106;104;2;1;0,990476190476191;0,981132075471698;2023-04-12T00:05:00Z
person;105;106;101;5;4;0,961904761904762;0,952830188679245;2023-04-12T00:07:30Z
person;105;106;105;1;0;1,000000000000000;0,990566037735849;2023-04-12T00:15:00Z
