Class;gt;eval;rp;fp;fn;S;G;t_int
person;105;127;84;44;22;0,792452830188679;0,656250000000000;2023-04-12T00:00:10Z
person;105;127;90;38;16;0,849056603773585;0,703125000000000;2023-04-12T00:00:20Z
person;105;127;93;34;12;0,885714285714286;0,732283464566929;2023-04-12T00:00:30Z
person;105;127;97;30;8;0,923809523809524;0,763779527559055;2023-04-12T00:00:50Z
person;105;126;99;27;6;0,942857142857143;0,785714285714286;2023-04-12T00:01:00Z
person;105;127;100;27;5;0,952380952380952;0,787401574803150;2023-04-12T00:01:30Z
person;105;126;99;27;6;0,942857142857143;0,785714285714286;2023-04-12T00:01:40Z
person;105;126;104;22;1;0,990476190476191;0,825396825396825;2023-04-12T00:02:30Z
person;105;126;105;21;0;1,000000000000000;0,833333333333333;2023-04-12T00:03:00Z
person;105;126;105;21;0;1,000000000000000;0,833333333333333;2023-04-12T00:05:00Z
person;105;126;105;21;0;1,000000000000000;0,833333333333333;2023-04-12T00:07:30Z
person;105;125;105;20;0;1,000000000000000;0,840000000000000;2023-04-12T00:15:00Z
