Class;gt;eval;rp;fp;fn;S;G;t_int
truck;5;10;3;7;2;0,6;0,3;2023-04-12T00:00:10Z
truck;5;10;3;7;2;0,6;0,3;2023-04-12T00:00:20Z
truck;5;10;3;7;2;0,6;0,3;2023-04-12T00:00:30Z
truck;5;10;3;7;2;0,6;0,3;2023-04-12T00:00:50Z
truck;5;10;4;6;1;0,8;0,4;2023-04-12T00:01:00Z
truck;5;10;3;7;2;0,6;0,3;2023-04-12T00:01:30Z
truck;5;10;3;7;2;0,6;0,3;2023-04-12T00:01:40Z
truck;5;10;4;6;1;0,8;0,4;2023-04-12T00:02:30Z
truck;5;10;4;6;1;0,8;0,4;2023-04-12T00:03:00Z
truck;5;10;5;5;0;1,0;0,5;2023-04-12T00:05:00Z
truck;5;10;5;5;0;1,0;0,5;2023-04-12T00:07:30Z
truck;5;10;5;5;0;1,0;0,5;2023-04-12T00:15:00Z
