Class;gt;eval;rp;fp;fn;S;G;t_int
bicycle;10;4;3;1;7;0,3;0,75;2023-04-12T00:00:10Z
bicycle;10;4;3;1;7;0,3;0,75;2023-04-12T00:00:20Z
bicycle;10;4;3;1;7;0,3;0,75;2023-04-12T00:00:30Z
bicycle;10;4;3;1;7;0,3;0,75;2023-04-12T00:00:50Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:01:00Z
bicycle;10;4;3;1;7;0,3;0,75;2023-04-12T00:01:30Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:01:40Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:02:30Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:03:00Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:05:00Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:07:30Z
bicycle;10;4;4;0;6;0,4;1,00;2023-04-12T00:15:00Z
