Class;gt;eval;rp;fp;fn;S;G;t_int
car;190;184;175;9;15;0,921052631578947;0,951086956521739;2023-04-12T00:00:10Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;2023-04-12T00:00:20Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;2023-04-12T00:00:30Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;2023-04-12T00:00:50Z
car;190;184;176;8;14;0,926315789473684;0,956521739130435;2023-04-12T00:01:00Z
car;190;184;177;7;13;0,931578947368421;0,961956521739130;2023-04-12T00:01:30Z
car;190;184;182;2;8;0,957894736842105;0,989130434782609;2023-04-12T00:01:40Z
car;190;184;182;2;8;0,957894736842105;0,989130434782609;2023-04-12T00:02:30Z
car;190;184;177;7;13;0,931578947368421;0,961956521739130;2023-04-12T00:03:00Z
car;190;184;182;2;8;0,957894736842105;0,989130434782609;2023-04-12T00:05:00Z
car;190;184;184;0;6;0,968421052631579;1,000000000000000;2023-04-12T00:07:30Z
car;190;184;184;0;6;0,968421052631579;1,000000000000000;2023-04-12T00:15:00Z
