Class;gt;eval;rp;fp;fn;S;G;t_int
person;214;209;153;56;61;0,714953271028037;0,732057416267943;2023-04-12T00:00:10Z
person;214;209;167;42;47;0,780373831775701;0,799043062200957;2023-04-12T00:00:20Z
person;214;209;177;32;37;0,827102803738318;0,846889952153110;2023-04-12T00:00:30Z
person;214;209;185;24;29;0,864485981308411;0,885167464114832;2023-04-12T00:00:50Z
person;214;209;182;27;32;0,850467289719626;0,870813397129187;2023-04-12T00:01:00Z
person;214;209;183;26;31;0,855140186915888;0,875598086124402;2023-04-12T00:01:30Z
person;214;209;189;20;25;0,883177570093458;0,904306220095694;2023-04-12T00:01:40Z
person;214;209;188;21;26;0,878504672897196;0,899521531100478;2023-04-12T00:02:30Z
person;214;209;189;20;25;0,883177570093458;0,904306220095694;2023-04-12T00:03:00Z
person;214;209;209;0;5;0,976635514018692;1,000000000000000;2023-04-12T00:05:00Z
person;214;209;205;4;9;0,957943925233645;0,980861244019139;2023-04-12T00:07:30Z
person;214;209;209;0;5;0,976635514018692;1,000000000000000;2023-04-12T00:15:00Z
