Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;14;5;3;2;11;0,214285714285714;0,6;0,315789473684211;2023-04-24T00:00:10Z
bicycle;14;5;3;2;11;0,214285714285714;0,6;0,315789473684211;2023-04-24T00:00:20Z
bicycle;14;5;4;1;10;0,285714285714286;0,8;0,421052631578947;2023-04-24T00:00:30Z
bicycle;14;5;4;1;10;0,285714285714286;0,8;0,421052631578947;2023-04-24T00:00:50Z
bicycle;14;5;4;1;10;0,285714285714286;0,8;0,421052631578947;2023-04-24T00:01:00Z
bicycle;14;5;4;1;10;0,285714285714286;0,8;0,421052631578947;2023-04-24T00:01:30Z
bicycle;14;5;4;1;10;0,285714285714286;0,8;0,421052631578947;2023-04-24T00:01:40Z
bicycle;14;5;4;1;10;0,285714285714286;0,8;0,421052631578947;2023-04-24T00:02:30Z
bicycle;14;5;5;0;9;0,357142857142857;1,0;0,526315789473684;2023-04-24T00:03:00Z
bicycle;14;5;5;0;9;0,357142857142857;1,0;0,526315789473684;2023-04-24T00:05:00Z
bicycle;14;5;5;0;9;0,357142857142857;1,0;0,526315789473684;2023-04-24T00:07:30Z
bicycle;14;5;5;0;9;0,357142857142857;1,0;0,526315789473684;2023-04-24T00:15:00Z
