Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;12;4;3;1;9;0,250000000000000;0,75;0,375;2023-04-24T00:00:10Z
bicycle;12;4;3;1;9;0,250000000000000;0,75;0,375;2023-04-24T00:00:20Z
bicycle;12;4;3;1;9;0,250000000000000;0,75;0,375;2023-04-24T00:00:30Z
bicycle;12;4;3;1;9;0,250000000000000;0,75;0,375;2023-04-24T00:00:50Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:01:00Z
bicycle;12;4;3;1;9;0,250000000000000;0,75;0,375;2023-04-24T00:01:30Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:01:40Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:02:30Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:03:00Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:05:00Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:07:30Z
bicycle;12;4;4;0;8;0,333333333333333;1,00;0,500;2023-04-24T00:15:00Z
