Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;120;127;93;35;28;0,768595041322314;0,726562500000000;0,746987951807229;2023-04-24T00:00:10Z
person;120;127;101;27;20;0,834710743801653;0,789062500000000;0,811244979919679;2023-04-24T00:00:20Z
person;120;127;104;23;16;0,866666666666667;0,818897637795276;0,842105263157895;2023-04-24T00:00:30Z
person;120;127;108;19;12;0,900000000000000;0,850393700787402;0,874493927125506;2023-04-24T00:00:50Z
person;120;126;110;16;10;0,916666666666667;0,873015873015873;0,894308943089431;2023-04-24T00:01:00Z
person;120;127;111;16;9;0,925000000000000;0,874015748031496;0,898785425101215;2023-04-24T00:01:30Z
person;120;126;109;17;11;0,908333333333333;0,865079365079365;0,886178861788618;2023-04-24T00:01:40Z
person;120;126;116;10;4;0,966666666666667;0,920634920634921;0,943089430894309;2023-04-24T00:02:30Z
person;120;126;117;9;3;0,975000000000000;0,928571428571429;0,951219512195122;2023-04-24T00:03:00Z
person;120;126;119;7;1;0,991666666666667;0,944444444444444;0,967479674796748;2023-04-24T00:05:00Z
person;120;126;120;6;0;1,000000000000000;0,952380952380952;0,975609756097561;2023-04-24T00:07:30Z
person;120;125;120;5;0;1,000000000000000;0,960000000000000;0,979591836734694;2023-04-24T00:15:00Z
