Class;gt;eval;rp;fp;fn;S;G;F1;t_int
truck;3;10;1;9;2;0,333333333333333;0,1;0,153846153846154;2023-04-24T00:00:10Z
truck;3;10;1;9;2;0,333333333333333;0,1;0,153846153846154;2023-04-24T00:00:20Z
truck;3;10;2;8;1;0,666666666666667;0,2;0,307692307692308;2023-04-24T00:00:30Z
truck;3;10;2;8;1;0,666666666666667;0,2;0,307692307692308;2023-04-24T00:00:50Z
truck;3;10;3;7;0;1,000000000000000;0,3;0,461538461538462;2023-04-24T00:01:00Z
truck;3;10;2;8;1;0,666666666666667;0,2;0,307692307692308;2023-04-24T00:01:30Z
truck;3;10;2;8;1;0,666666666666667;0,2;0,307692307692308;2023-04-24T00:01:40Z
truck;3;10;3;7;0;1,000000000000000;0,3;0,461538461538462;2023-04-24T00:02:30Z
truck;3;10;3;7;0;1,000000000000000;0,3;0,461538461538462;2023-04-24T00:03:00Z
truck;3;10;3;7;0;1,000000000000000;0,3;0,461538461538462;2023-04-24T00:05:00Z
truck;3;10;3;7;0;1,000000000000000;0,3;0,461538461538462;2023-04-24T00:07:30Z
truck;3;10;3;7;0;1,000000000000000;0,3;0,461538461538462;2023-04-24T00:15:00Z
