Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;67;67;59;8;8;0,880597014925373;0,880597014925373;0,880597014925373;2023-04-24T00:00:10Z
person;67;66;59;7;8;0,880597014925373;0,893939393939394;0,887218045112782;2023-04-24T00:00:20Z
person;67;66;60;6;7;0,895522388059702;0,909090909090909;0,902255639097744;2023-04-24T00:00:30Z
person;67;67;61;6;6;0,910447761194030;0,910447761194030;0,910447761194030;2023-04-24T00:00:50Z
person;67;66;60;6;7;0,895522388059702;0,909090909090909;0,902255639097744;2023-04-24T00:01:00Z
person;67;66;62;4;5;0,925373134328358;0,939393939393939;0,932330827067669;2023-04-24T00:01:30Z
person;67;66;63;3;4;0,940298507462687;0,954545454545455;0,947368421052632;2023-04-24T00:01:40Z
person;67;66;64;2;3;0,955223880597015;0,969696969696970;0,962406015037594;2023-04-24T00:02:30Z
person;67;66;63;3;4;0,940298507462687;0,954545454545455;0,947368421052632;2023-04-24T00:03:00Z
person;67;66;64;2;3;0,955223880597015;0,969696969696970;0,962406015037594;2023-04-24T00:05:00Z
person;67;66;64;2;3;0,955223880597015;0,969696969696970;0,962406015037594;2023-04-24T00:07:30Z
person;67;66;66;0;1;0,985074626865672;1,000000000000000;0,992481203007519;2023-04-24T00:15:00Z
