Class;gt;eval;rp;fp;fn;S;G;F1;t_int
truck;3;3;3;0;0;1;1;1;2023-04-17T00:00:10Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:00:20Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:00:30Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:00:50Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:01:00Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:01:30Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:01:40Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:02:30Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:03:00Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:05:00Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:07:30Z
truck;3;3;3;0;0;1;1;1;2023-04-17T00:15:00Z
