Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;175;175;171;4;4;0,977142857142857;0,977142857142857;0,977142857142857;2023-04-17T00:00:10Z
car;175;175;172;3;3;0,982857142857143;0,982857142857143;0,982857142857143;2023-04-17T00:00:20Z
car;175;175;173;2;2;0,988571428571429;0,988571428571429;0,988571428571429;2023-04-17T00:00:30Z
car;175;175;175;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-04-17T00:00:50Z
car;175;175;173;2;2;0,988571428571429;0,988571428571429;0,988571428571429;2023-04-17T00:01:00Z
car;175;175;174;1;1;0,994285714285714;0,994285714285714;0,994285714285714;2023-04-17T00:01:30Z
car;175;175;175;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-04-17T00:01:40Z
car;175;175;175;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-04-17T00:02:30Z
car;175;175;174;1;1;0,994285714285714;0,994285714285714;0,994285714285714;2023-04-17T00:03:00Z
car;175;175;175;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-04-17T00:05:00Z
car;175;175;175;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-04-17T00:07:30Z
car;175;175;175;0;0;1,000000000000000;1,000000000000000;1,000000000000000;2023-04-17T00:15:00Z
