Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;72;73;68;10;9;0,883116883116883;0,871794871794872;0,877419354838710;2023-04-17T00:00:10Z
person;72;73;68;10;9;0,883116883116883;0,871794871794872;0,877419354838710;2023-04-17T00:00:20Z
person;72;73;69;6;5;0,932432432432432;0,920000000000000;0,926174496644295;2023-04-17T00:00:30Z
person;72;73;69;6;5;0,932432432432432;0,920000000000000;0,926174496644295;2023-04-17T00:00:50Z
person;72;73;70;5;4;0,945945945945946;0,933333333333333;0,939597315436242;2023-04-17T00:01:00Z
person;72;73;69;5;4;0,945205479452055;0,932432432432432;0,938775510204082;2023-04-17T00:01:30Z
person;72;73;69;5;4;0,945205479452055;0,932432432432432;0,938775510204082;2023-04-17T00:01:40Z
person;72;73;68;5;4;0,944444444444444;0,931506849315068;0,937931034482759;2023-04-17T00:02:30Z
person;72;73;68;5;4;0,944444444444444;0,931506849315068;0,937931034482759;2023-04-17T00:03:00Z
person;72;73;70;3;2;0,972222222222222;0,958904109589041;0,965517241379310;2023-04-17T00:05:00Z
person;72;73;72;1;0;1,000000000000000;0,986301369863014;0,993103448275862;2023-04-17T00:07:30Z
person;72;73;72;1;0;1,000000000000000;0,986301369863014;0,993103448275862;2023-04-17T00:15:00Z
