Class;gt;eval;rp;fp;fn;S;G;t_int
bicycle;61;104;48;56;13;0,786885245901639;0,461538461538462;2023-04-12T00:00:10Z
bicycle;61;104;55;49;6;0,901639344262295;0,528846153846154;2023-04-12T00:00:20Z
bicycle;61;104;55;49;6;0,901639344262295;0,528846153846154;2023-04-12T00:00:30Z
bicycle;61;104;60;44;1;0,983606557377049;0,576923076923077;2023-04-12T00:00:50Z
bicycle;61;104;60;44;1;0,983606557377049;0,576923076923077;2023-04-12T00:01:00Z
bicycle;61;104;60;44;1;0,983606557377049;0,576923076923077;2023-04-12T00:01:30Z
bicycle;61;104;61;43;0;1,000000000000000;0,586538461538462;2023-04-12T00:01:40Z
bicycle;61;104;61;43;0;1,000000000000000;0,586538461538462;2023-04-12T00:02:30Z
bicycle;61;104;61;43;0;1,000000000000000;0,586538461538462;2023-04-12T00:03:00Z
bicycle;61;104;61;43;0;1,000000000000000;0,586538461538462;2023-04-12T00:05:00Z
bicycle;61;104;61;43;0;1,000000000000000;0,586538461538462;2023-04-12T00:07:30Z
bicycle;61;104;61;43;0;1,000000000000000;0,586538461538462;2023-04-12T00:15:00Z
