Class;gt;eval;rp;fp;fn;S;G;t_int
person;14;134;12;122;2;0,857142857142857;0,0895522388059701;2023-04-12T00:00:10Z
person;14;134;13;121;1;0,928571428571429;0,0970149253731343;2023-04-12T00:00:20Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:00:30Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:00:50Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:01:00Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:01:30Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:01:40Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:02:30Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:03:00Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:05:00Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:07:30Z
person;14;134;14;120;0;1,000000000000000;0,1044776119402985;2023-04-12T00:15:00Z
