Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:00:10Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:00:20Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:00:30Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:00:50Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:01:00Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:01:30Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:01:40Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:02:30Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:03:00Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:05:00Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:07:30Z
person;15;13;13;0;2;0,866666666666667;1;0,928571428571429;2023-04-17T00:15:00Z
