;Class;gt;eval;t_start;t_end
0;car;50.0;49.0;18:30:00;18:35:00
1;person;18.0;27.0;18:30:00;18:35:00
2;bicycle;3.0;0.0;18:30:00;18:35:00
3;bus;2.0;0.0;18:30:00;18:35:00
4;car;63.0;63.0;18:35:00;18:40:00
5;person;18.0;20.0;18:35:00;18:40:00
6;truck;3.0;1.0;18:35:00;18:40:00
7;bicycle;3.0;0.0;18:35:00;18:40:00
8;motorcycle;2.0;1.0;18:35:00;18:40:00
9;bus;1.0;0.0;18:35:00;18:40:00
10;car;43.0;43.0;18:40:00;18:45:00
11;person;31.0;30.0;18:40:00;18:45:00
12;bus;3.0;3.0;18:40:00;18:45:00
13;bicycle;2.0;0.0;18:40:00;18:45:00
14;truck;0.0;1.0;18:40:00;18:45:00
