Class;gt;eval;t_start;t_end
bicycle;22;16;08:00:00;08:05:00
person;3;2;08:00:00;08:05:00
bicycle;26;20;08:05:00;08:10:00
person;6;7;08:05:00;08:10:00
motorcycle;0;1;08:05:00;08:10:00
car;0;1;08:05:00;08:10:00
bicycle;19;15;08:10:00;08:15:00
person;5;6;08:10:00;08:15:00
bicycle;24;15;08:15:00;08:20:00
person;2;3;08:15:00;08:20:00
truck;1;0;08:15:00;08:20:00
car;0;1;08:15:00;08:20:00
bicycle;35;22;08:20:00;08:25:00
person;1;7;08:20:00;08:25:00
bicycle;33;27;08:25:00;08:30:00
person;6;8;08:25:00;08:30:00
car;0;1;08:25:00;08:30:00
bicycle;21;15;08:30:00;08:35:00
person;2;3;08:30:00;08:35:00
car;1;1;08:30:00;08:35:00
bicycle;32;25;08:35:00;08:40:00
person;7;6;08:35:00;08:40:00
bicycle;20;15;08:40:00;08:45:00
person;14;14;08:40:00;08:45:00
