Class;gt;eval;t_start;t_end;gt_o;gt_s
person;43;41;13:15:00;13:20:00;42;42
motorcycle;1;1;13:15:00;13:20:00;1;1
person;35;33;13:20:00;13:25:00;35;34
bicycle;2;1;13:20:00;13:25:00;1;2
motorcycle;0;3;13:20:00;13:25:00;1;0
person;30;30;13:25:00;13:30:00;28;31
bicycle;1;1;13:25:00;13:30:00;1;1
person;27;23;18:30:00;18:35:00;27;27
bicycle;1;2;18:30:00;18:35:00;1;1
person;25;25;18:35:00;18:40:00;25;25
bicycle;1;1;18:35:00;18:40:00;0;1
person;51;45;18:40:00;18:45:00;51;48
car;1;0;18:40:00;18:45:00;1;0
bicycle;0;1;18:40:00;18:45:00;0;0
person;24;22;18:45:00;18:50:00;24;24
bicycle;2;0;18:45:00;18:50:00;2;3
person;23;22;18:50:00;18:55:00;23;24
bicycle;1;1;18:50:00;18:55:00;1;1
person;20;22;18:55:00;19:00:00;20;20
bicycle;2;1;18:55:00;19:00:00;2;1
car;0;1;18:55:00;19:00:00;0;0
