Class;gt;eval;t_start;t_end;gt_o;gt_s
car;62;62;13:15:00;13:20:00;62;60
person;38;17;13:15:00;13:20:00;30;45
bicycle;4;4;13:15:00;13:20:00;2;4
motorcycle;3;2;13:15:00;13:20:00;3;3
truck;1;5;13:15:00;13:20:00;1;1
bus;1;1;13:15:00;13:20:00;1;1
car;61;61;13:20:00;13:25:00;54;62
person;16;7;13:20:00;13:25:00;12;17
bicycle;4;3;13:20:00;13:25:00;3;4
bus;2;2;13:20:00;13:25:00;2;2
motorcycle;1;2;13:20:00;13:25:00;1;1
truck;0;5;13:20:00;13:25:00;1;0
car;73;67;13:25:00;13:30:00;72;71
person;22;9;13:25:00;13:30:00;16;23
bus;6;10;13:25:00;13:30:00;6;6
bicycle;4;2;13:25:00;13:30:00;4;4
truck;2;3;13:25:00;13:30:00;3;1
motorcycle;1;1;13:25:00;13:30:00;1;1
car;50;50;18:30:00;18:35:00;50;49
person;18;13;18:30:00;18:35:00;16;17
bicycle;2;0;18:30:00;18:35:00;2;2
bus;2;2;18:30:00;18:35:00;2;2
motorcycle;0;1;18:30:00;18:35:00;0;0
car;65;64;18:35:00;18:40:00;66;64
person;13;11;18:35:00;18:40:00;13;14
truck;3;4;18:35:00;18:40:00;3;3
bicycle;3;0;18:35:00;18:40:00;2;4
motorcycle;2;2;18:35:00;18:40:00;2;1
bus;1;1;18:35:00;18:40:00;1;1
car;41;41;18:40:00;18:45:00;41;41
person;10;8;18:40:00;18:45:00;10;10
bus;3;3;18:40:00;18:45:00;3;3
bicycle;2;0;18:40:00;18:45:00;2;2
car;60;61;18:45:00;18:50:00;60;60
person;22;19;18:45:00;18:50:00;22;26
motorcycle;4;2;18:45:00;18:50:00;4;4
bus;2;2;18:45:00;18:50:00;2;2
car;62;65;18:50:00;18:55:00;62;62
person;28;20;18:50:00;18:55:00;28;32
bus;2;2;18:50:00;18:55:00;2;2
bicycle;1;1;18:50:00;18:55:00;1;1
car;53;52;18:55:00;19:00:00;53;53
person;22;14;18:55:00;19:00:00;22;23
bus;4;4;18:55:00;19:00:00;4;4
bicycle;3;0;18:55:00;19:00:00;3;3
motorcycle;0;1;18:55:00;19:00:00;0;0
