Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;156;155;150;5;6;0,961538461538462;0,967741935483871;0,964630225080386;2023-04-24T00:00:10Z
car;156;155;152;3;4;0,974358974358974;0,980645161290323;0,977491961414791;2023-04-24T00:00:20Z
car;156;155;151;4;5;0,967948717948718;0,974193548387097;0,971061093247588;2023-04-24T00:00:30Z
car;156;155;152;3;4;0,974358974358974;0,980645161290323;0,977491961414791;2023-04-24T00:00:50Z
car;156;155;152;3;4;0,974358974358974;0,980645161290323;0,977491961414791;2023-04-24T00:01:00Z
car;156;155;153;2;3;0,980769230769231;0,987096774193548;0,983922829581994;2023-04-24T00:01:30Z
car;156;155;152;3;4;0,974358974358974;0,980645161290323;0,977491961414791;2023-04-24T00:01:40Z
car;156;155;154;1;2;0,987179487179487;0,993548387096774;0,990353697749196;2023-04-24T00:02:30Z
car;156;155;153;2;3;0,980769230769231;0,987096774193548;0,983922829581994;2023-04-24T00:03:00Z
car;156;155;155;0;1;0,993589743589744;1,000000000000000;0,996784565916399;2023-04-24T00:05:00Z
car;156;155;155;0;1;0,993589743589744;1,000000000000000;0,996784565916399;2023-04-24T00:07:30Z
car;156;155;155;0;1;0,993589743589744;1,000000000000000;0,996784565916399;2023-04-24T00:15:00Z
