Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;175;117;100;17;75;0,571428571428571;0,854700854700855;0,684931506849315;2023-04-24T00:00:10Z
person;175;117;105;12;70;0,600000000000000;0,897435897435897;0,719178082191781;2023-04-24T00:00:20Z
person;175;117;108;9;67;0,617142857142857;0,923076923076923;0,739726027397260;2023-04-24T00:00:30Z
person;175;116;114;2;61;0,651428571428571;0,982758620689655;0,783505154639175;2023-04-24T00:00:50Z
person;175;116;114;2;61;0,651428571428571;0,982758620689655;0,783505154639175;2023-04-24T00:01:00Z
person;175;117;117;0;58;0,668571428571429;1,000000000000000;0,801369863013699;2023-04-24T00:01:30Z
person;175;116;115;1;60;0,657142857142857;0,991379310344828;0,790378006872852;2023-04-24T00:01:40Z
person;175;116;116;0;59;0,662857142857143;1,000000000000000;0,797250859106529;2023-04-24T00:02:30Z
person;175;116;116;0;59;0,662857142857143;1,000000000000000;0,797250859106529;2023-04-24T00:03:00Z
person;175;116;116;0;59;0,662857142857143;1,000000000000000;0,797250859106529;2023-04-24T00:05:00Z
person;175;116;116;0;59;0,662857142857143;1,000000000000000;0,797250859106529;2023-04-24T00:07:30Z
person;175;116;116;0;59;0,662857142857143;1,000000000000000;0,797250859106529;2023-04-24T00:15:00Z
