Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;67;77;48;29;19;0,716417910447761;0,623376623376623;0,666666666666667;2023-04-24T00:00:10Z
person;67;77;50;27;17;0,746268656716418;0,649350649350649;0,694444444444445;2023-04-24T00:00:20Z
person;67;77;56;21;11;0,835820895522388;0,727272727272727;0,777777777777778;2023-04-24T00:00:30Z
person;67;77;57;20;10;0,850746268656716;0,740259740259740;0,791666666666667;2023-04-24T00:00:50Z
person;67;77;59;18;8;0,880597014925373;0,766233766233766;0,819444444444445;2023-04-24T00:01:00Z
person;67;77;58;19;9;0,865671641791045;0,753246753246753;0,805555555555556;2023-04-24T00:01:30Z
person;67;77;59;18;8;0,880597014925373;0,766233766233766;0,819444444444445;2023-04-24T00:01:40Z
person;67;77;65;12;2;0,970149253731343;0,844155844155844;0,902777777777778;2023-04-24T00:02:30Z
person;67;77;64;13;3;0,955223880597015;0,831168831168831;0,888888888888889;2023-04-24T00:03:00Z
person;67;77;66;11;1;0,985074626865672;0,857142857142857;0,916666666666667;2023-04-24T00:05:00Z
person;67;77;65;12;2;0,970149253731343;0,844155844155844;0,902777777777778;2023-04-24T00:07:30Z
person;67;77;67;10;0;1,000000000000000;0,870129870129870;0,930555555555556;2023-04-24T00:15:00Z
