Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:00:10Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:00:20Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:00:30Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:00:50Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:01:00Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:01:30Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:01:40Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:02:30Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:03:00Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:05:00Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:07:30Z
bicycle;6;0;0;0;6;0;NA;NA;2023-04-24T00:15:00Z
