Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bus;8;8;7;1;1;0,875;0,875;0,875;2023-04-24T00:00:10Z
bus;8;8;7;1;1;0,875;0,875;0,875;2023-04-24T00:00:20Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:00:30Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:00:50Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:01:00Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:01:30Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:01:40Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:02:30Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:03:00Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:05:00Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:07:30Z
bus;8;8;8;0;0;1,000;1,000;1,000;2023-04-24T00:15:00Z
