Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;67;102;50;52;17;0,746268656716418;0,490196078431373;0,591715976331361;2023-05-02T00:00:10Z
bicycle;67;102;53;49;14;0,791044776119403;0,519607843137255;0,627218934911243;2023-05-02T00:00:20Z
bicycle;67;102;60;42;7;0,895522388059702;0,588235294117647;0,710059171597633;2023-05-02T00:00:30Z
bicycle;67;102;64;38;3;0,955223880597015;0,627450980392157;0,757396449704142;2023-05-02T00:00:50Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:01:00Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:01:30Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:01:40Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:02:30Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:03:00Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:05:00Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:07:30Z
bicycle;67;102;67;35;0;1,000000000000000;0,656862745098039;0,792899408284024;2023-05-02T00:15:00Z
