Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;89;79;72;7;17;0,808988764044944;0,911392405063291;0,857142857142857;2023-05-02T00:00:10Z
bicycle;89;79;73;6;16;0,820224719101124;0,924050632911392;0,869047619047619;2023-05-02T00:00:20Z
bicycle;89;79;75;4;14;0,842696629213483;0,949367088607595;0,892857142857143;2023-05-02T00:00:30Z
bicycle;89;79;75;4;14;0,842696629213483;0,949367088607595;0,892857142857143;2023-05-02T00:00:50Z
bicycle;89;79;76;3;13;0,853932584269663;0,962025316455696;0,904761904761905;2023-05-02T00:01:00Z
bicycle;89;79;79;0;10;0,887640449438202;1,000000000000000;0,940476190476190;2023-05-02T00:01:30Z
bicycle;89;79;78;1;11;0,876404494382023;0,987341772151899;0,928571428571429;2023-05-02T00:01:40Z
bicycle;89;79;79;0;10;0,887640449438202;1,000000000000000;0,940476190476190;2023-05-02T00:02:30Z
bicycle;89;79;79;0;10;0,887640449438202;1,000000000000000;0,940476190476190;2023-05-02T00:03:00Z
bicycle;89;79;79;0;10;0,887640449438202;1,000000000000000;0,940476190476190;2023-05-02T00:05:00Z
bicycle;89;79;79;0;10;0,887640449438202;1,000000000000000;0,940476190476190;2023-05-02T00:07:30Z
bicycle;89;79;79;0;10;0,887640449438202;1,000000000000000;0,940476190476190;2023-05-02T00:15:00Z
