Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;10;28;9;19;1;0,9;0,321428571428571;0,473684210526316;2023-05-02T00:00:10Z
person;10;27;10;17;0;1,0;0,370370370370370;0,540540540540541;2023-05-02T00:00:20Z
person;10;25;10;15;0;1,0;0,400000000000000;0,571428571428572;2023-05-02T00:00:30Z
person;10;25;10;15;0;1,0;0,400000000000000;0,571428571428572;2023-05-02T00:00:50Z
person;10;24;10;14;0;1,0;0,416666666666667;0,588235294117647;2023-05-02T00:01:00Z
person;10;21;10;11;0;1,0;0,476190476190476;0,645161290322581;2023-05-02T00:01:30Z
person;10;22;10;12;0;1,0;0,454545454545455;0,625000000000000;2023-05-02T00:01:40Z
person;10;21;10;11;0;1,0;0,476190476190476;0,645161290322581;2023-05-02T00:02:30Z
person;10;21;10;11;0;1,0;0,476190476190476;0,645161290322581;2023-05-02T00:03:00Z
person;10;21;10;11;0;1,0;0,476190476190476;0,645161290322581;2023-05-02T00:05:00Z
person;10;21;10;11;0;1,0;0,476190476190476;0,645161290322581;2023-05-02T00:07:30Z
person;10;21;10;11;0;1,0;0,476190476190476;0,645161290322581;2023-05-02T00:15:00Z
