Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;9;22;7;28;15;0,318181818181818;0,200000000000000;0,245614035087719;2023-05-02T00:00:10Z
person;9;20;7;21;10;0,411764705882353;0,250000000000000;0,311111111111111;2023-05-02T00:00:20Z
person;9;19;7;17;7;0,500000000000000;0,291666666666667;0,368421052631579;2023-05-02T00:00:30Z
person;9;19;7;17;7;0,500000000000000;0,291666666666667;0,368421052631579;2023-05-02T00:00:50Z
person;9;18;7;13;4;0,636363636363636;0,350000000000000;0,451612903225806;2023-05-02T00:01:00Z
person;9;18;9;10;1;0,900000000000000;0,473684210526316;0,620689655172414;2023-05-02T00:01:30Z
person;9;18;9;11;2;0,818181818181818;0,450000000000000;0,580645161290323;2023-05-02T00:01:40Z
person;9;18;9;9;0;1,000000000000000;0,500000000000000;0,666666666666667;2023-05-02T00:02:30Z
person;9;18;9;9;0;1,000000000000000;0,500000000000000;0,666666666666667;2023-05-02T00:03:00Z
person;9;18;9;9;0;1,000000000000000;0,500000000000000;0,666666666666667;2023-05-02T00:05:00Z
person;9;18;9;9;0;1,000000000000000;0,500000000000000;0,666666666666667;2023-05-02T00:07:30Z
person;9;18;9;9;0;1,000000000000000;0,500000000000000;0,666666666666667;2023-05-02T00:15:00Z
