Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;249;206;164;43;86;0,656000000000000;0,792270531400966;0,717724288840263;2023-04-24T00:00:10Z
person;249;206;177;29;72;0,710843373493976;0,859223300970874;0,778021978021978;2023-04-24T00:00:20Z
person;249;205;182;23;67;0,730923694779116;0,887804878048780;0,801762114537445;2023-04-24T00:00:30Z
person;249;205;191;14;58;0,767068273092369;0,931707317073171;0,841409691629956;2023-04-24T00:00:50Z
person;249;205;193;12;56;0,775100401606426;0,941463414634146;0,850220264317181;2023-04-24T00:01:00Z
person;249;205;195;10;54;0,783132530120482;0,951219512195122;0,859030837004405;2023-04-24T00:01:30Z
person;249;205;199;6;50;0,799196787148594;0,970731707317073;0,876651982378855;2023-04-24T00:01:40Z
person;249;205;199;6;50;0,799196787148594;0,970731707317073;0,876651982378855;2023-04-24T00:02:30Z
person;249;204;200;4;49;0,803212851405622;0,980392156862745;0,883002207505519;2023-04-24T00:03:00Z
person;249;204;204;0;45;0,819277108433735;1,000000000000000;0,900662251655629;2023-04-24T00:05:00Z
person;249;204;204;0;45;0,819277108433735;1,000000000000000;0,900662251655629;2023-04-24T00:07:30Z
person;249;204;204;0;45;0,819277108433735;1,000000000000000;0,900662251655629;2023-04-24T00:15:00Z
