Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;41;33;25;9;17;0,595238095238095;0,735294117647059;0,657894736842105;2023-04-24T00:00:10Z
person;41;33;27;6;14;0,658536585365854;0,818181818181818;0,729729729729730;2023-04-24T00:00:20Z
person;41;33;29;4;12;0,707317073170732;0,878787878787879;0,783783783783784;2023-04-24T00:00:30Z
person;41;33;29;4;12;0,707317073170732;0,878787878787879;0,783783783783784;2023-04-24T00:00:50Z
person;41;33;30;3;11;0,731707317073171;0,909090909090909;0,810810810810811;2023-04-24T00:01:00Z
person;41;33;31;2;10;0,756097560975610;0,939393939393939;0,837837837837838;2023-04-24T00:01:30Z
person;41;33;31;2;10;0,756097560975610;0,939393939393939;0,837837837837838;2023-04-24T00:01:40Z
person;41;33;32;1;9;0,780487804878049;0,969696969696970;0,864864864864865;2023-04-24T00:02:30Z
person;41;33;31;2;10;0,756097560975610;0,939393939393939;0,837837837837838;2023-04-24T00:03:00Z
person;41;33;33;0;8;0,804878048780488;1,000000000000000;0,891891891891892;2023-04-24T00:05:00Z
person;41;33;33;0;8;0,804878048780488;1,000000000000000;0,891891891891892;2023-04-24T00:07:30Z
person;41;33;33;0;8;0,804878048780488;1,000000000000000;0,891891891891892;2023-04-24T00:15:00Z
