Class;gt;eval;rp;fp;fn;S;G;F1;t_int
bicycle;5;2;1;1;4;0,2;0,5;0,285714285714286;2023-04-24T00:00:10Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:00:20Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:00:30Z
bicycle;5;2;1;1;4;0,2;0,5;0,285714285714286;2023-04-24T00:00:50Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:01:00Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:01:30Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:01:40Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:02:30Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:03:00Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:05:00Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:07:30Z
bicycle;5;2;2;0;3;0,4;1,0;0,571428571428572;2023-04-24T00:15:00Z
