Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;175;178;166;12;9;0,948571428571429;0,932584269662921;0,940509915014164;2023-04-24T00:00:10Z
car;175;178;169;9;6;0,965714285714286;0,949438202247191;0,957507082152975;2023-04-24T00:00:20Z
car;175;178;170;8;5;0,971428571428571;0,955056179775281;0,963172804532578;2023-04-24T00:00:30Z
car;175;178;171;7;4;0,977142857142857;0,960674157303371;0,968838526912181;2023-04-24T00:00:50Z
car;175;178;171;7;4;0,977142857142857;0,960674157303371;0,968838526912181;2023-04-24T00:01:00Z
car;175;178;173;5;2;0,988571428571429;0,971910112359551;0,980169971671388;2023-04-24T00:01:30Z
car;175;178;173;5;2;0,988571428571429;0,971910112359551;0,980169971671388;2023-04-24T00:01:40Z
car;175;178;174;4;1;0,994285714285714;0,977528089887640;0,985835694050992;2023-04-24T00:02:30Z
car;175;178;173;5;2;0,988571428571429;0,971910112359551;0,980169971671388;2023-04-24T00:03:00Z
car;175;178;174;4;1;0,994285714285714;0,977528089887640;0,985835694050992;2023-04-24T00:05:00Z
car;175;178;175;3;0;1,000000000000000;0,983146067415730;0,991501416430595;2023-04-24T00:07:30Z
car;175;178;175;3;0;1,000000000000000;0,983146067415730;0,991501416430595;2023-04-24T00:15:00Z
