Class;gt;eval;rp;fp;fn;S;G;F1;t_int
car;175;186;173;13;2;0,988571428571429;0,930107526881720;0,958448753462604;2023-04-24T00:00:10Z
car;175;186;174;12;1;0,994285714285714;0,935483870967742;0,963988919667590;2023-04-24T00:00:20Z
car;175;186;173;13;2;0,988571428571429;0,930107526881720;0,958448753462604;2023-04-24T00:00:30Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:00:50Z
car;175;186;174;12;1;0,994285714285714;0,935483870967742;0,963988919667590;2023-04-24T00:01:00Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:01:30Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:01:40Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:02:30Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:03:00Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:05:00Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:07:30Z
car;175;186;175;11;0;1,000000000000000;0,940860215053763;0,969529085872576;2023-04-24T00:15:00Z
