Class;gt;eval;rp;fp;fn;S;G;F1;t_int
person;68;60;45;15;23;0,661764705882353;0,750000000000000;0,703125000000000;2023-04-24T00:00:10Z
person;68;60;49;11;19;0,720588235294118;0,816666666666667;0,765625000000000;2023-04-24T00:00:20Z
person;68;60;48;12;20;0,705882352941177;0,800000000000000;0,750000000000000;2023-04-24T00:00:30Z
person;68;60;54;6;14;0,794117647058823;0,900000000000000;0,843750000000000;2023-04-24T00:00:50Z
person;68;60;53;7;15;0,779411764705882;0,883333333333333;0,828125000000000;2023-04-24T00:01:00Z
person;68;60;54;6;14;0,794117647058823;0,900000000000000;0,843750000000000;2023-04-24T00:01:30Z
person;68;60;56;4;12;0,823529411764706;0,933333333333333;0,875000000000000;2023-04-24T00:01:40Z
person;68;59;56;3;12;0,823529411764706;0,949152542372881;0,881889763779528;2023-04-24T00:02:30Z
person;68;59;56;3;12;0,823529411764706;0,949152542372881;0,881889763779528;2023-04-24T00:03:00Z
person;68;59;59;0;9;0,867647058823529;1,000000000000000;0,929133858267717;2023-04-24T00:05:00Z
person;68;59;59;0;9;0,867647058823529;1,000000000000000;0,929133858267717;2023-04-24T00:07:30Z
person;68;58;58;0;10;0,852941176470588;1,000000000000000;0,920634920634921;2023-04-24T00:15:00Z
