Class;gt;eval;rp;fp;fn;S;G;F1;t_int
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:00:10Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:00:20Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:00:30Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:00:50Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:01:00Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:01:30Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:01:40Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:02:30Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:03:00Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:05:00Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:07:30Z
truck;0;1;0;1;0;NA;0;NA;2023-04-24T00:15:00Z
